"actor","text","season","episode","title"
"NED","He won’t be a boy forever. And winter is coming.","01","01","Winter is Coming"
"ROBB","Lad, go run back and get the rest.","01","01","Winter is Coming"
"WILL (muttering)","White Walkers. I saw the White Walkers. White Walkers. The White Walkers, I saw them.","01","01","Winter is Coming"
"WILL","I know I broke my oath. And I know I’m a deserter. I should have gone back to the Wall and warned them. But I saw what I saw. I saw the White Walkers. People need to know. If you can get word to my family, tell them I’m no coward. Tell them I’m sorry.","01","01","Winter is Coming"
"WILL (whispering)","Forgive me, lord.","01","01","Winter is Coming"
"NED","In the name of Robert of the House Baratheon, first of his name …","01","01","Winter is Coming"
"JON (to BRAN)","Don’t look away.","01","01","Winter is Coming"
"NED","King of the Andals and the First Men …","01","01","Winter is Coming"
"JON","Father will know if you do.","01","01","Winter is Coming"
"NED","Lord of the Seven Kingdoms and protector of the realm, I, Eddard of the House Stark, Lord of Winterfell and Warden of the North, sentence you to die.","01","01","Winter is Coming"
"JON","You did well.","01","01","Winter is Coming"
"NED","You understand why I did it?","01","01","Winter is Coming"
"BRAN","Jon said he was a deserter.","01","01","Winter is Coming"
"NED","But do you understand why I had to k*ll him?","01","01","Winter is Coming"
"BRAN","Our way is the old way?","01","01","Winter is Coming"
"NED","The man who passes the sentence should swing the sword.","01","01","Winter is Coming"
"BRAN","Is it true he saw the White Walkers?","01","01","Winter is Coming"
"NED","The White Walkers have been gone for thousands of years.","01","01","Winter is Coming"
"BRAN","So he was lying?","01","01","Winter is Coming"
"NED","A madman sees what he sees.","01","01","Winter is Coming"
"JON","What is it?","01","01","Winter is Coming"
"THEON","Mountain lion?","01","01","Winter is Coming"
"NED","There are no mountain lions in these woods.","01","01","Winter is Coming"
"THEON","It’s a freak.","01","01","Winter is Coming"
"NED","It’s a direwolf.","01","01","Winter is Coming"
"NED","Tough old beast.","01","01","Winter is Coming"
"ROBB","There are no direwolves south of the Wall.","01","01","Winter is Coming"
"JON","Now there are five.","01","01","Winter is Coming"
"JON","You want to hold it?","01","01","Winter is Coming"
"BRAN","Where will they go? Their mother’s dead.","01","01","Winter is Coming"
"CASSEL","They don’t belong down here.","01","01","Winter is Coming"
"NED","Better a quick death. They won’t last without their mother.","01","01","Winter is Coming"
"THEON","Right. Give it here.","01","01","Winter is Coming"
"BRAN","NO!","01","01","Winter is Coming"
"ROBB (disgustedly to THEON)","Put away your blade.","01","01","Winter is Coming"
"THEON","I take orders from your father, not you.","01","01","Winter is Coming"
"BRAN","Please, father!","01","01","Winter is Coming"
"NED","I’m sorry, Bran.","01","01","Winter is Coming"
"JON","Lord Stark? There are five pups. One for each of the Stark children. The direwolf is the sigil of your House. They were meant to have them.","01","01","Winter is Coming"
"NED","You will train them yourselves. You will feed them yourselves. And if they die, you will bury them yourselves.","01","01","Winter is Coming"
"BRAN (to JON)","What about you?","01","01","Winter is Coming"
"JON","I’m not a Stark. Get on.","01","01","Winter is Coming"
"ROBB","What is it?","01","01","Winter is Coming"
"THEON","The runt of the litter. That one’s yours, Snow.","01","01","Winter is Coming"
"JAIME","As your brother, I feel it’s my duty to warn you  You worry too much. It’s starting to show.","01","01","Winter is Coming"
"CERSEI","And you never worry about anything. When we were seven, you jumped off the cliffs as Casterly Rock. One hundred foot drop into the water. And you were never afraid.","01","01","Winter is Coming"
"JAIME","There was nothing to be afraid of until you told father. [In a whisper, mimicking] We’re Lannisters. Lannisters don’t act like fools.","01","01","Winter is Coming"
"CERSEI","What if Jon Arryn told someone?","01","01","Winter is Coming"
"JAIME","But who would he tell?","01","01","Winter is Coming"
"CERSEI","My husband.","01","01","Winter is Coming"
"JAIME","If he told the king, both our heads would be skewered on the city gates by now. Whatever Jon Arryn knew or didn’t know, it died with him. And Robert will choose a new Hand of the king, someone to do his job while he’s off f*cking boars and hunting whores. Or is it the other way around? And life will go on.","01","01","Winter is Coming"
"CERSEI","You should be the Hand of the king.","01","01","Winter is Coming"
"JAIME","That’s an honor I can do without. Their days are too long, their lives are too short.","01","01","Winter is Coming"
"CATELYN","All these years and I still feel like an outsider when I come here.","01","01","Winter is Coming"
"NED","You have five northern children. You’re not an outsider.","01","01","Winter is Coming"
"CATELYN","I wonder if the old gods agree.","01","01","Winter is Coming"
"NED","It’s your gods with all the rules.","01","01","Winter is Coming"
"CATELYN","I am so sorry, my love.","01","01","Winter is Coming"
"NED","Tell me.","01","01","Winter is Coming"
"CATELYN","There was a raven from Kings Landing. Jon Arryn is dead. A fever took him. I know he was like a father to you.","01","01","Winter is Coming"
"NED","Your sister. The boy …","01","01","Winter is Coming"
"CATELYN","They both have their health. Gods be good. [pause] The raven brought more news. The king rides for Winterfell. With the queen and all the rest of them.","01","01","Winter is Coming"
"NED","He’s coming this far North, there’s only one thing he’s after.","01","01","Winter is Coming"
"CATELYN","You can always say no, Ned.","01","01","Winter is Coming"
"CATELYN","We need plenty of candles for Lord Tyrion’s chamber. I’m told he reads all night.","01","01","Winter is Coming"
"MAESTER LUWIN","I’m told he drinks all night.","01","01","Winter is Coming"
"CATELYN","How much could he possibly drink? A man of his … stature.","01","01","Winter is Coming"
"LUWIN","We’ve brought up eight barrels of ale from the cellar. Perhaps we’ll find out.","01","01","Winter is Coming"
"CATELYN","In any case, candles.","01","01","Winter is Coming"
"JON","Why’s your mother so dead-set on us getting pretty for the king?","01","01","Winter is Coming"
"THEON","It’s for the queen, I bet. I hear she’s [sleek as a mink?]","01","01","Winter is Coming"
"ROBB","I hear the prince is a right royal prick.","01","01","Winter is Coming"
"THEON","Think of all those southern girls he gets to stab with his right royal prick.","01","01","Winter is Coming"
"ROBB","Go on, Tommy, shave him good. He’s never met a girl he likes better than his own hair.","01","01","Winter is Coming"
"CATELYN","Gods, but they grow fast. [Seeing BRAN on the wall] Brandon!","01","01","Winter is Coming"
"BRAN","I saw the king! He’s got hundreds of people!","01","01","Winter is Coming"
"CATELYN","How many times have I told you  No climbing!","01","01","Winter is Coming"
"BRAN","But he’s coming right now! Down our road!","01","01","Winter is Coming"
"CATELYN","I want you to promise me  No more climbing.","01","01","Winter is Coming"
"BRAN (looking down)","I promise.","01","01","Winter is Coming"
"CATELYN","D’you know what?","01","01","Winter is Coming"
"BRAN","What?","01","01","Winter is Coming"
"CATELYN","You always look at your feet before you lie. Run and find your father. Tell him the king is close.","01","01","Winter is Coming"
"CATELYN","Where’s Arya? Sansa, where’s your sister?","01","01","Winter is Coming"
"NED","Hey,, hey, hey, hey. What are you doing with that on? [Pulls off ARYA’s helm]","01","01","Winter is Coming"
"ARYA (pushing BRAN)","Move!","01","01","Winter is Coming"
"NED","Your Grace.","01","01","Winter is Coming"
"ROBERT","You’ve got fat.","01","01","Winter is Coming"
"ROBERT","Cat!","01","01","Winter is Coming"
"CATELYN","Your Grace.","01","01","Winter is Coming"
"ROBERT","Nine years. Why haven’t I seen you? Where the hell have you been?","01","01","Winter is Coming"
"NED","Guarding the North for you, Your Grace. Winterfell is yours.","01","01","Winter is Coming"
"ARYA","Where’s the Imp?","01","01","Winter is Coming"
"SANSA","Will you shut up?","01","01","Winter is Coming"
"ROBERT","Who have we here? You must be Robb. (To Sansa) My, you’re a pretty one. (To Arya) Your name is?","01","01","Winter is Coming"
"ARYA","Arya.","01","01","Winter is Coming"
"ARYA","That’s Jaime Lannister. The queen’s twin brother.","01","01","Winter is Coming"
"SANSA","Would you please shut up.","01","01","Winter is Coming"
"NED","My queen.","01","01","Winter is Coming"
"CATELYN","My queen.","01","01","Winter is Coming"
"ROBERT","Take me to your crypt. I want to pay my respects.","01","01","Winter is Coming"
"CERSEI","We’ve been riding for a month, my love. Surely the dead can wait.","01","01","Winter is Coming"
"ROBERT","Ned.","01","01","Winter is Coming"
"ARYA","Where’s the Imp?","01","01","Winter is Coming"
"CERSEI","Where is our brother? Go find the little beast.","01","01","Winter is Coming"
"NED","Tell me about Jon Arryn.","01","01","Winter is Coming"
"ROBERT","One minute he was fine, and then … Burned right through him, whatever it was. I loved that man.","01","01","Winter is Coming"
"NED","We both did.","01","01","Winter is Coming"
"ROBERT","He never had to teach you much, but me … You remember me at 16? All I wanted to do was crack skulls and f*ck girls. He showed me what was what.","01","01","Winter is Coming"
"NED","Aye.","01","01","Winter is Coming"
"ROBERT","Don’t look at me like that. Not his fault I didn’t listen. (They laugh. ROBERT sighs.) I need you, Ned. Down at Kings Landing. Not up here, where you’re no damn use to anybody. Lord Eddard Stark, I would name you the Hand of the king.","01","01","Winter is Coming"
"NED","I’m not worthy of the honor.","01","01","Winter is Coming"
"ROBERT","I’m not trying to honor you. I’m trying to get you to run my kingdom while I eat, drink, and whore my way to an early grave. Damn it, Ned, stand up. You helped me win the Iron Throne, now help me keep the damn thing. We were meant to rule together. If your sister had lived, we would have been bound by blood. Well, it’s not too late. I have a son, you have a daughter. We’ll join our Houses.","01","01","Winter is Coming"
"TYRION","Mmh. It is true what they say about the Northern girls.","01","01","Winter is Coming"
"ROS","Did you hear the king’s in Winterfell?","01","01","Winter is Coming"
"TYRION","I did hear something about that.","01","01","Winter is Coming"
"ROS","And the queen. And her twin brother. They say that he is the most handsome man in the Seven Kingdoms.","01","01","Winter is Coming"
"TYRION","And the other brother?","01","01","Winter is Coming"
"ROS","The queen has two brothers?","01","01","Winter is Coming"
"TYRION","There’s the pretty one. And there’s the clever one.","01","01","Winter is Coming"
"ROS","I hear they call him the Imp.","01","01","Winter is Coming"
"TYRION","I hear he hates that nickname.","01","01","Winter is Coming"
"ROS","Oh? I hear he’s more than earned it. I hear he’s a drunken little lecher into all manner of perversions.","01","01","Winter is Coming"
"TYRION","Clever girl.","01","01","Winter is Coming"
"ROS","We’ve been expecting you, Lord Tyrion.","01","01","Winter is Coming"
"TYRION","Have you?","01","01","Winter is Coming"
"TYRION","The gods gave me one blessing.","01","01","Winter is Coming"
"JAIME","Don’t get up.","01","01","Winter is Coming"
"ROS","M’lord.","01","01","Winter is Coming"
"TYRION","Should I explain to you the meaning of a closed door in a whorehouse, brother?","01","01","Winter is Coming"
"JAIME","You’ve much to teach me, no doubt. But our sister craves your attention.","01","01","Winter is Coming"
"TYRION","She has odd cravings, our sister.","01","01","Winter is Coming"
"JAIME","A family trait. Now, the Starks are feasting us at sundown. Don’t leave me alone with these people.","01","01","Winter is Coming"
"TYRION","I’m sorry, I’ve g*n the feast a bit early. And this is the first of many courses.","01","01","Winter is Coming"
"JAIME","I thought you might say that. But since we’re short on time, (he opens the door; a bevy of whores enter and descend on TYRION) Come on, girls. See you at sundown.","01","01","Winter is Coming"
"TYRION","Close the door!","01","01","Winter is Coming"
"ROBERT","Did you have to bury her in a place like this? She should be on a hill somewhere with the sun and the clouds above her.","01","01","Winter is Coming"
"NED","She was my sister. This is where she belongs.","01","01","Winter is Coming"
"ROBERT","She belonged with me.","01","01","Winter is Coming"
"ROBERT","In my dreams, I k*ll him every night.","01","01","Winter is Coming"
"NED","It’s done, Your Grace. The Targaryens are gone.","01","01","Winter is Coming"
"ROBERT","Not all of them.","01","01","Winter is Coming"
"VISERYS (off camera)","Daenerys!","01","01","Winter is Coming"
"VISERYS","Daenerys! There’s our bride to be! Look – a gift from Illyrio. Touch it. Come on. Feel the fabric. Mmmm. Isn’t he a gracious host?","01","01","Winter is Coming"
"DAENERYS","We’ve been his guests for over a year and he’s never asked us for anything.","01","01","Winter is Coming"
"VISERYS","Illyrio is no fool. He knows I won’t forget my friends when I come into my throne. You still slouch. Let me see. (He pulls off her gown.) You have a woman’s body now. (She endures it as he strokes her breast.) I need you to be perfect today. Can you do that for me? You don’t want to wake the dragon, do you?","01","01","Winter is Coming"
"DAENERYS","No.","01","01","Winter is Coming"
"VISERYS","When they write the history of my reign, sweet sister, they will say it began today.","01","01","Winter is Coming"
"MAID","It’s too hot, my lady.","01","01","Winter is Coming"
"VISERYS","Where is he?","01","01","Winter is Coming"
"ILLYRIO","The Dothraki are not known for their punctuality.","01","01","Winter is Coming"
"ILLYRIO","(Greets them in Dothraki.) May I present my honored guests? Viserys of House Targaryen, the third of his name. The rightful King of the Andals and the First Men. And his sister, Daenerys, of the House Targaryen.","01","01","Winter is Coming"
"ILLYRIO","Come forward, my dear.","01","01","Winter is Coming"
"VISERYS","Where’s he going?","01","01","Winter is Coming"
"ILLYRIO","The ceremony is over.","01","01","Winter is Coming"
"VISERYS","But he didn’t say anything. Did he like her?","01","01","Winter is Coming"
"ILLYRIO","Trust me, Your Grace. If he didn’t like her, we’d know.","01","01","Winter is Coming"
"ILLYRIO","It won’t be long now. Soon you will cross the Narrow Sea and take back your father’s throne. The people drink secret toasts to your health. They cry out for their true king.","01","01","Winter is Coming"
"VISERYS","When will they be married?","01","01","Winter is Coming"
"ILLYRIO","Soon. The Dothraki never stay still for long.","01","01","Winter is Coming"
"VISERYS","Is it true they lie with their horses?","01","01","Winter is Coming"
"ILLYRIO","I wouldn’t ask Khal Drogo.","01","01","Winter is Coming"
"VISERYS","Do you take me for a fool?","01","01","Winter is Coming"
"ILLYRIO","I take you for a king. Kings lack the caution of common men. My apologies if I’ve given offense.","01","01","Winter is Coming"
"VISERYS","I know how to play a man like Drogo. I give him a queen and he gives me an army.","01","01","Winter is Coming"
"VISERYS","So do I. I want us both to go home. But they took it from us. So tell me, sweet sister, how do we go home?","01","01","Winter is Coming"
"DAENERYS","I don’t know.","01","01","Winter is Coming"
"VISERYS","We go home with an army. With Khal Drogo’s army. I would let his whole tribe f*ck you, all 40,000 men and their horses too, if that’s what it took.","01","01","Winter is Coming"
"SANSA","Do you think Joffrey will like me? What if he thinks I’m ugly?","01","01","Winter is Coming"
"CATELYN","Then he is the stupidest prince that ever lived.","01","01","Winter is Coming"
"SANSA","He’s so handsome.","01","01","Winter is Coming"
"SANSA","When would we be married? Soon or do we have to wait?","01","01","Winter is Coming"
"CATELYN","Hush now. Your father hasn’t even said yes.","01","01","Winter is Coming"
"SANSA","Why would he say no? He’d be the second most powerful man in the kingdoms.","01","01","Winter is Coming"
"CATELYN","He’d have to leave home. He’d have to leave me. And so would you.","01","01","Winter is Coming"
"SANSA","You left your home to come here. And I’d be queen someday. Please make father say yes.","01","01","Winter is Coming"
"CATELYN","Sansa…","01","01","Winter is Coming"
"SANSA","Please, please. It’s the only thing I ever wanted.","01","01","Winter is Coming"
"BENJEN","Is he dead yet?","01","01","Winter is Coming"
"JON","Uncle Benjen!","01","01","Winter is Coming"
"BENJEN","You got bigger. I rode all day. Didn’t want to leave you alone with the Lannisters. Why aren’t you at the feast?","01","01","Winter is Coming"
"JON","Lady Stark thought it might insult the royal family to seat a bastard in their midst.","01","01","Winter is Coming"
"BENJEN","Well, you’re always welcome on the wall. No bastard was ever refused a seat there.","01","01","Winter is Coming"
"JON","So take me with you when you go back.","01","01","Winter is Coming"
"BENJEN","Jon…","01","01","Winter is Coming"
"JON","Father will let me if you ask him, I know he will.","01","01","Winter is Coming"
"BENJEN","The Wall isn’t going anywhere.","01","01","Winter is Coming"
"JON","I’m ready to swear your oath.","01","01","Winter is Coming"
"BENJEN","You don’t understand what you’d be giving up. We have no families. None of us will ever father sons.","01","01","Winter is Coming"
"JON","I don’t care about that.","01","01","Winter is Coming"
"BENJEN","You might, if you knew what it meant. … I’d better get inside. Rescue your father from his guests. We’ll talk later.","01","01","Winter is Coming"
"TYRION","Your uncle’s in the Night’s Watch.","01","01","Winter is Coming"
"JON","What’re you doing back there?","01","01","Winter is Coming"
"TYRION (drinking)","Preparing for a night with your family. I’ve always wanted to see the Wall.","01","01","Winter is Coming"
"JON","You’re Tyrion Lannister. The queen’s brother?","01","01","Winter is Coming"
"TYRION","My greatest accomplishment. You – you’re Ned Stark’s bastard, aren’t you?","01","01","Winter is Coming"
"TYRION","Did I offend you? Sorry. You are the bastard, though.","01","01","Winter is Coming"
"JON","Lord Eddard Stark is my father.","01","01","Winter is Coming"
"TYRION","And Lady Stark is not your mother. Making you a bastard. Let me give you some advice, bastard. Never forget what you are. The rest of the world will not. Wear it like armor. Then it can never be used to hurt you.","01","01","Winter is Coming"
"JON","What the hell do you know about being a bastard?","01","01","Winter is Coming"
"TYRION","All dwarves are bastards in their fathers’ eyes.","01","01","Winter is Coming"
"BENJEN","You at a feast -- It’s like a bear in a trap.","01","01","Winter is Coming"
"NED","The boy I beheaded. Did you know him?","01","01","Winter is Coming"
"BENJEN","Of course I did. Just a lad. But he was tough, Ned. A true Ranger.","01","01","Winter is Coming"
"NED","He was talking madness. Said the Walkers slaughtered his friends.","01","01","Winter is Coming"
"BENJEN","The two he was with are still missing.","01","01","Winter is Coming"
"NED","A wildling ambush.","01","01","Winter is Coming"
"BENJEN","Maybe. Direwolves south of the wall. Talk of the Walkers. My brother might be the next Hand to the king. Winter is coming.","01","01","Winter is Coming"
"NED","Winter is coming.","01","01","Winter is Coming"
"ROBB","Uncle Benjen.","01","01","Winter is Coming"
"BENJEN","Robb boy. How are ye?","01","01","Winter is Coming"
"ROBB","I’m good.","01","01","Winter is Coming"
"CERSEI","Yes. Lovely country.","01","01","Winter is Coming"
"CATELYN","I’m sure it’s very grim, after Kings Landing. I remember how scared I was when Ned brought me up here for the first time.","01","01","Winter is Coming"
"CERSEI","Hello, little dove. But you are a beauty. How old are you?","01","01","Winter is Coming"
"SANSA","Thirteen, Your Grace.","01","01","Winter is Coming"
"CERSEI","You’re tall. Still growing?","01","01","Winter is Coming"
"SANSA","I think so, Your Grace.","01","01","Winter is Coming"
"CERSEI","And have you bled yet?","01","01","Winter is Coming"
"SANSA (discomfited)","No, Your Grace.","01","01","Winter is Coming"
"CERSEI","And your dress. Did you make it?","01","01","Winter is Coming"
"CERSEI","Such talent. You must make something for me.","01","01","Winter is Coming"
"CERSEI (to CATELYN]","I hear we might share a grandchild someday.","01","01","Winter is Coming"
"CATELYN","I hear the same.","01","01","Winter is Coming"
"CERSEI","Your daughter will do well in the capital. Such a beauty shouldn’t stay hidden up here forever.","01","01","Winter is Coming"
"NED","Your pardon.","01","01","Winter is Coming"
"JAIME","I hear we might be neighbors soon. I hope it’s true.","01","01","Winter is Coming"
"NED","Yes, the king has honored me with his offer.","01","01","Winter is Coming"
"JAIME","I’m sure we’ll have a tournament to celebrate the new title, if you accept. It would be good to have you in the field. The competition has become a bit stale.","01","01","Winter is Coming"
"NED","I don’t fight in tournaments.","01","01","Winter is Coming"
"JAIME","No? Getting a little old for it?","01","01","Winter is Coming"
"NED","I don’t fight in tournaments because when I fight a man for real, I don’t want him to know what I can do.","01","01","Winter is Coming"
"JAIME","Well said.","01","01","Winter is Coming"
"SANSA","Arya!","01","01","Winter is Coming"
"ROBB","Time for bed.","01","01","Winter is Coming"
"NED","I’m a Northman. I belong here with you, not down south in that rat’s nest they call a capital.","01","01","Winter is Coming"
"CATELYN","I won’t let him take you.","01","01","Winter is Coming"
"NED","The king takes what he wants. That’s why he’s king.","01","01","Winter is Coming"
"CATELYN","I’ll say, ‘Listen, fat man, you are not taking my husband anywhere. He belongs to me now.’","01","01","Winter is Coming"
"NED","How did he get so fat?","01","01","Winter is Coming"
"CATELYN","He only stops eating when it’s time for a drink.","01","01","Winter is Coming"
"A VOICE","It’s Maester Luwin, my lord.","01","01","Winter is Coming"
"NED","Send him in.","01","01","Winter is Coming"
"LUWIN","Pardon, my lord, my lady. A rider in the night from your sister.","01","01","Winter is Coming"
"NED","Stay.","01","01","Winter is Coming"
"CATELYN","This was sent from the Eyrie. What’s she doing at the Eyrie? She hasn’t been back there since her wedding.","01","01","Winter is Coming"
"NED","What news?","01","01","Winter is Coming"
"CATELYN","She’s fled the capital. She says Jon Arryn was m*rder. By the Lannisters. She says the king is in danger.","01","01","Winter is Coming"
"NED","She’s fresh widowed, Cat. She doesn’t know what she’s saying.","01","01","Winter is Coming"
"CATELYN","Lysa’s head would be on a spike right now if the wrong people had found that letter. Do you think she would risk her life, her son’s life, if she wasn’t certain her husband was m*rder?","01","01","Winter is Coming"
"LUWIN","If this news is true, and the Lannisters conspire against the throne, who but you can protect the king?","01","01","Winter is Coming"
"CATELYN","They m*rder the last Hand. Now you want Ned to take the job.","01","01","Winter is Coming"
"LUWIN","The king rode for a month to ask Lord Stark’s help. He’s the only one he trusts. You swore the king an oath, my lord.","01","01","Winter is Coming"
"CATELYN","He spent half his life fighting Robert’s wars. He owes him nothing. (To NED) Your father and brother rode south once on a king’s demand.","01","01","Winter is Coming"
"LUWIN","A different time. Different king.","01","01","Winter is Coming"
"VISERYS","When do I meet with the Khal? We need to begin planning the invasion.","01","01","Winter is Coming"
"ILLYRIO","If Khal Drogo has promised you a crown, you shall have it.","01","01","Winter is Coming"
"VISERYS","When?","01","01","Winter is Coming"
"ILLYRIO","When their omens favor w*r.","01","01","Winter is Coming"
"VISERYS","I piss on Dothraki omens. I waited 17 years to get my throne back.","01","01","Winter is Coming"
"ILLYRIO","A Dothraki wedding without at least three deaths is considered a dull affair.","01","01","Winter is Coming"
"JORAH","A small gift for the new Khaleesi. Songs and histories from the Seven Kingdoms.","01","01","Winter is Coming"
"DAENERYS","Thank you, ser. Are you from my country?","01","01","Winter is Coming"
"JORAH","Ser Jorah Mormont of Bear Island. I served your father for many years. Gods be good, I hope to always serve the rightful king.","01","01","Winter is Coming"
"ILLYRIO","Dragons’ eggs, Daenerys. From the Shadow Lands beyond Asshai. The ages have turned them to stone, but they will always be beautiful.","01","01","Winter is Coming"
"DAENERYS","Thank you, Magister.","01","01","Winter is Coming"
"DAENERYS","She’s beautiful. … Ser Jorah, I don’t know how to say ‘thank you’ in Dothraki.","01","01","Winter is Coming"
"JORAH","There is no word for ‘thank you’ in Dothraki.","01","01","Winter is Coming"
"VISERYS","Make him happy.","01","01","Winter is Coming"
"KHAL DROGO","No.","01","01","Winter is Coming"
"DAENERYS","Do you know the Common Tongue?","01","01","Winter is Coming"
"KHAL DROGO","No.","01","01","Winter is Coming"
"DAENERYS","Is ‘no’ the only word that you know?","01","01","Winter is Coming"
"KHAL DROGO","No.","01","01","Winter is Coming"
"THE HOUND","Rough night, Imp?","01","01","Winter is Coming"
"TYRION","If I get through this without squirting from one end or the other, it will be a miracle.","01","01","Winter is Coming"
"THE HOUND","I didn’t pick you for a hunter.","01","01","Winter is Coming"
"TYRION","The greatest in the land. My spear never misses.","01","01","Winter is Coming"
"THE HOUND","It’s not hunting if you pay for it.","01","01","Winter is Coming"
"ROBERT","Are you as good with a spear as you used to be?","01","01","Winter is Coming"
"NED","No, but I’m still better than you.","01","01","Winter is Coming"
"ROBERT","I know what I’m putting you through. Thank you for saying yes. I only ask you because I need you. You’re a loyal friend. You hear me? A loyal friend. The last one I’ve got.","01","01","Winter is Coming"
"NED","I hope I’ll serve you well.","01","01","Winter is Coming"
"ROBERT","You will. And I’ll make sure you don’t look so f*cking grim all the time. Come on, boys, let’s go k*ll some boar!","01","01","Winter is Coming"
"BRAN","Come on, you.","01","01","Winter is Coming"
"CERSEI","Stop. STOP.","01","01","Winter is Coming"
"JAIME","Are you completely mad?","01","01","Winter is Coming"
"CERSEI","He saw us.","01","01","Winter is Coming"
"JAIME","It’s all right. It’s all right.","01","01","Winter is Coming"
"CERSEI","He saw us!","01","01","Winter is Coming"
"JAIME","I heard you the first time. (To BRAN) Quite the little climber, aren’t you? How old are you, boy?","01","01","Winter is Coming"
"BRAN","Ten","01","01","Winter is Coming"
"JAIME","Ten.","01","01","Winter is Coming"
"JAIME","The things I do for love.","01","01","Winter is Coming"
"Ned","A Wildling ambush.","01","02","The Kings Road"
"Jorah Mormont ","You need to drink, child. And eat.","01","02","The Kings Road"
"Daenerys Targaryen ","Isn't there anything else ?","01","02","The Kings Road"
"Jorah Mormont ","The Dothraki have two things in abundance   grass and horses. People can't live on grass. In the Shadow Lands beyond Asshai, they say there are fields of ghost grass with stalks as pale as milk that glow in the night. It m*rder all other grass. The Dothraki believe that one day it will cover everything. That's the way the world will end. It'll get easier.","01","02","The Kings Road"
"Doreah ","Khaleesi !","01","02","The Kings Road"
"Irri ","Your hands.","01","02","The Kings Road"
"Jorah Mormont ","We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there.","01","02","The Kings Road"
"Viserys Targaryen ","I have no interest in hospitality or comfort. I'll stay with Drogo until he fulfils his end of the bargain and I have my crown.","01","02","The Kings Road"
"Jorah Mormont ","As you wish, your Grace.","01","02","The Kings Road"
"Viserys Targaryen ","Well, Mormont, as brutish as this life is, I suppose it is preferable to beheading. What did Ned Stark want you for ? Buying from a slaver ?","01","02","The Kings Road"
"Jorah Mormont ","Selling to one... Some poachers I caught on my land.","01","02","The Kings Road"
"Viserys Targaryen ","Under my reign, you won't be punished for such nonsense. You can rest assured of that.","01","02","The Kings Road"
"Joffrey Baratheon ","Better-looking bitches than you're used to, Uncle. My mother's been looking for you. We ride for King's Landing today.","01","02","The Kings Road"
"Tyrion Lannister ","Before you go, you will call on Lord and Lady Stark and offer your sympathies.","01","02","The Kings Road"
"Joffrey Baratheon ","What good will my sympathies do them ?","01","02","The Kings Road"
"Tyrion Lannister ","None. But it is expected of you. Your absence has already been noted.","01","02","The Kings Road"
"Joffrey Baratheon ","The boy means nothing to me. And I can't stand the wailing of women.","01","02","The Kings Road"
"Tyrion Lannister ","One word and I'll hit you again.","01","02","The Kings Road"
